storage/path,storage/name,storage/read_only,printer/state,printer/temp_bed,printer/target_bed,printer/temp_nozzle,printer/target_nozzle,printer/axis_z,printer/axis_x,printer/axis_y,printer/flow,printer/speed,printer/fan_hotend,printer/fan_print,timestamp,job/id,job/progress,job/time_remaining,job/time_printing,filename,shape,transfer/id,transfer/time_transferring,transfer/progress,transfer/transferred
/usb/,usb,false,PRINTING,59.9,60,229.9,230,0.2,,,100,100,6527,0,2025-02-26 10:10:20,86,1,12000,357,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,6522,0,2025-02-26 10:10:25,86,1,11940,362,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,6728,0,2025-02-26 10:10:30,86,1,11940,367,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,6844,0,2025-02-26 10:10:35,86,1,11940,372,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,6895,0,2025-02-26 10:10:40,86,1,11940,377,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,6964,0,2025-02-26 10:10:45,86,1,11940,382,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7019,0,2025-02-26 10:10:50,86,1,11940,387,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7101,0,2025-02-26 10:10:55,86,1,11940,392,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7253,0,2025-02-26 10:11:00,86,1,11940,397,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7298,0,2025-02-26 10:11:05,86,1,11940,402,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7376,0,2025-02-26 10:11:10,86,1,11940,407,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7509,0,2025-02-26 10:11:16,86,1,11940,412,,,,,,
/usb/,usb,false,PRINTING,60,60,229.8,230,0.2,,,100,100,7578,0,2025-02-26 10:11:21,86,1,11940,417,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7656,0,2025-02-26 10:11:26,86,1,11880,422,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7755,0,2025-02-26 10:11:31,86,1,11880,427,,,,,,
/usb/,usb,false,PRINTING,60.1,60,229.9,230,0.2,,,100,100,7805,0,2025-02-26 10:11:36,86,1,11880,432,,,,,,
/usb/,usb,false,PRINTING,60,60,229.9,230,0.2,,,100,100,7800,0,2025-02-26 10:11:41,86,1,11880,437,,,,,,
/usb/,usb,false,PRINTING,60,60,230,230,0.2,,,100,100,7800,0,2025-02-26 10:11:46,86,1,11880,442,,,,,,
